timestamp_inicio_execucao,n_threads,repeticao,tipo,tempo_s,tamanho_matriz,n_tarefas,nucleos_fisicos,threads_logicas
2026-06-16T07:40:16,1,18,valida,0.520682,800,16,6,12
2026-06-16T07:40:17,3,20,valida,0.424570,800,16,6,12
2026-06-16T07:40:17,3,9,valida,0.437573,800,16,6,12
2026-06-16T07:40:18,1,9,valida,0.639530,800,16,6,12
2026-06-16T07:40:18,6,7,valida,0.368975,800,16,6,12
2026-06-16T07:40:19,1,24,valida,0.660570,800,16,6,12
2026-06-16T07:40:19,4,9,valida,0.465265,800,16,6,12
2026-06-16T07:40:20,6,-1,warmup,0.398413,800,16,6,12
2026-06-16T07:40:20,1,7,valida,0.521621,800,16,6,12
2026-06-16T07:40:21,12,22,valida,0.466246,800,16,6,12
2026-06-16T07:40:21,1,27,valida,0.517798,800,16,6,12
2026-06-16T07:40:22,2,6,valida,0.426208,800,16,6,12
2026-06-16T07:40:22,6,17,valida,0.331502,800,16,6,12
2026-06-16T07:40:22,12,0,valida,0.371092,800,16,6,12
2026-06-16T07:40:23,1,1,valida,0.550234,800,16,6,12
2026-06-16T07:40:23,2,24,valida,0.459054,800,16,6,12
2026-06-16T07:40:24,4,7,valida,0.356625,800,16,6,12
2026-06-16T07:40:24,8,-3,warmup,0.445124,800,16,6,12
2026-06-16T07:40:25,1,2,valida,0.724485,800,16,6,12
2026-06-16T07:40:25,2,0,valida,0.443418,800,16,6,12
2026-06-16T07:40:26,2,16,valida,0.439035,800,16,6,12
2026-06-16T07:40:27,1,0,valida,0.680997,800,16,6,12
2026-06-16T07:40:27,1,12,valida,0.707780,800,16,6,12
2026-06-16T07:40:28,3,-1,warmup,0.462596,800,16,6,12
2026-06-16T07:40:28,4,8,valida,0.427388,800,16,6,12
2026-06-16T07:40:28,8,29,valida,0.398527,800,16,6,12
2026-06-16T07:40:29,6,5,valida,0.348052,800,16,6,12
2026-06-16T07:40:29,8,16,valida,0.329937,800,16,6,12
2026-06-16T07:40:30,12,12,valida,0.350273,800,16,6,12
2026-06-16T07:40:30,8,18,valida,0.318528,800,16,6,12
2026-06-16T07:40:30,4,17,valida,0.319553,800,16,6,12
2026-06-16T07:40:31,3,15,valida,0.336175,800,16,6,12
2026-06-16T07:40:31,8,3,valida,0.382179,800,16,6,12
2026-06-16T07:40:31,8,2,valida,0.337502,800,16,6,12
2026-06-16T07:40:32,3,8,valida,0.322577,800,16,6,12
2026-06-16T07:40:32,2,11,valida,0.372391,800,16,6,12
2026-06-16T07:40:32,4,-2,warmup,0.337794,800,16,6,12
2026-06-16T07:40:33,8,0,valida,0.341647,800,16,6,12
2026-06-16T07:40:33,4,23,valida,0.331927,800,16,6,12
2026-06-16T07:40:33,2,2,valida,0.399051,800,16,6,12
2026-06-16T07:40:34,1,10,valida,0.531600,800,16,6,12
2026-06-16T07:40:34,3,4,valida,0.427049,800,16,6,12
2026-06-16T07:40:35,12,16,valida,0.510361,800,16,6,12
2026-06-16T07:40:35,2,28,valida,0.431745,800,16,6,12
2026-06-16T07:40:36,4,13,valida,0.376656,800,16,6,12
2026-06-16T07:40:36,1,-1,warmup,0.533865,800,16,6,12
2026-06-16T07:40:36,4,21,valida,0.358122,800,16,6,12
2026-06-16T07:40:37,3,29,valida,0.341944,800,16,6,12
2026-06-16T07:40:37,8,19,valida,0.417317,800,16,6,12
2026-06-16T07:40:38,2,1,valida,0.353964,800,16,6,12
2026-06-16T07:40:38,3,16,valida,0.333568,800,16,6,12
2026-06-16T07:40:38,12,2,valida,0.433783,800,16,6,12
2026-06-16T07:40:39,4,22,valida,0.320205,800,16,6,12
2026-06-16T07:40:39,2,-2,warmup,0.336453,800,16,6,12
2026-06-16T07:40:39,6,20,valida,0.409301,800,16,6,12
2026-06-16T07:40:40,4,26,valida,0.327825,800,16,6,12
2026-06-16T07:40:40,8,27,valida,0.361246,800,16,6,12
2026-06-16T07:40:41,12,25,valida,0.390084,800,16,6,12
2026-06-16T07:40:41,1,29,valida,0.536410,800,16,6,12
2026-06-16T07:40:42,8,24,valida,0.474715,800,16,6,12
2026-06-16T07:40:42,6,24,valida,0.310461,800,16,6,12
2026-06-16T07:40:42,12,-1,warmup,0.412411,800,16,6,12
2026-06-16T07:40:43,2,12,valida,0.404746,800,16,6,12
2026-06-16T07:40:43,8,-1,warmup,0.351584,800,16,6,12
2026-06-16T07:40:43,6,11,valida,0.310575,800,16,6,12
2026-06-16T07:40:44,3,7,valida,0.366326,800,16,6,12
2026-06-16T07:40:44,4,10,valida,0.338669,800,16,6,12
2026-06-16T07:40:44,8,22,valida,0.376784,800,16,6,12
2026-06-16T07:40:45,8,1,valida,0.314104,800,16,6,12
2026-06-16T07:40:45,4,28,valida,0.324479,800,16,6,12
2026-06-16T07:40:46,1,16,valida,0.552631,800,16,6,12
2026-06-16T07:40:46,6,3,valida,0.382614,800,16,6,12
2026-06-16T07:40:46,12,6,valida,0.370175,800,16,6,12
2026-06-16T07:40:47,12,19,valida,0.333834,800,16,6,12
2026-06-16T07:40:47,12,29,valida,0.357017,800,16,6,12
2026-06-16T07:40:47,2,27,valida,0.343065,800,16,6,12
2026-06-16T07:40:48,2,29,valida,0.368857,800,16,6,12
2026-06-16T07:40:48,4,18,valida,0.341459,800,16,6,12
2026-06-16T07:40:49,12,28,valida,0.417034,800,16,6,12
2026-06-16T07:40:49,2,10,valida,0.349280,800,16,6,12
2026-06-16T07:40:49,2,15,valida,0.325059,800,16,6,12
2026-06-16T07:40:50,4,24,valida,0.331307,800,16,6,12
2026-06-16T07:40:50,12,8,valida,0.428146,800,16,6,12
2026-06-16T07:40:50,6,26,valida,0.310706,800,16,6,12
2026-06-16T07:40:51,12,5,valida,0.386763,800,16,6,12
2026-06-16T07:40:51,4,19,valida,0.347127,800,16,6,12
2026-06-16T07:40:51,6,-2,warmup,0.320979,800,16,6,12
2026-06-16T07:40:52,6,21,valida,0.319249,800,16,6,12
2026-06-16T07:40:52,3,26,valida,0.339920,800,16,6,12
2026-06-16T07:40:52,8,6,valida,0.363262,800,16,6,12
2026-06-16T07:40:53,6,29,valida,0.316343,800,16,6,12
2026-06-16T07:40:53,2,-1,warmup,0.324681,800,16,6,12
2026-06-16T07:40:53,6,13,valida,0.340817,800,16,6,12
